object_name,x_coordinates,y_coordinates,z_coordinates,color
Bicycle,"1.915820636909002,1.886763384131072,1.472550599152488,1.6610370369669103,0.1408842601371858,-0.29733204876237973,-0.771308611643259,1.6978606207814937","1.7978729601586094,0.44109688755043,1.1232081236721738,1.6826639925016131,0.34268490354369896,1.2673934869656431,0.8887371717844696,1.2740660006850413","0.6761602429776032,-0.9460332854190083,-0.17340212740933514,0.7877711893282486,-0.9365689026513558,1.3533851145420819,1.4764395382169173,1.1438640621151785","rgba(118, 36, 126, 0.7)"
Sphere,"0.8219190888054748,0.8998003511374635,-0.618133205890515,-0.09933038351901402,1.550418071026681,-0.2917411565936582,0.8664069632398022,0.5643305411028399","1.8056437461968553,0.0460648662308607,1.7448480467892944,-0.18317826690950811,1.489710697138407,-0.9088341495529342,1.9275575653264525,1.5043662894963332","1.3693841702567897,0.693413836758475,1.4127329148586925,0.06358485976024841,0.22413580434437064,0.921379775510998,1.8084239731326868,1.7800538367822307","rgba(222, 104, 102, 0.7)"
Sphere,"0.2747119663642823,-0.6250647178027002,0.38579084279395337,1.0379146496645846,0.815275503111665,1.9024707562473036,0.006658173869250383,0.8385382539850355","0.557385015445653,1.5101839886609039,1.9548641064445644,0.8678002426455365,-0.14468184869577094,-0.8820338715465995,1.5940011982621196,-0.8858674299065546","0.548072793339085,-0.008591883311101278,0.43029111211228566,0.9682833769178303,-0.9283566161389326,-0.3465671982921398,1.0312119305111067,-0.492096814241495","rgba(117, 16, 195, 0.7)"
Cone,"-0.7922985272827537,1.1563588499019106,0.12775977139422445,0.020027619860998547,0.2198206037715651,-0.2216968342523601,1.6483298662261783,-0.37265856801811614","-0.11138069266002781,0.7351857993039523,0.49919723757223955,-0.5076390969627276,-0.447444957397084,0.33979247782117183,-0.9280361223817287,-0.32647200062920867","1.3672003501825687,-0.8302834727359041,1.282253725564325,0.002599443007783364,-0.7197434366400697,1.7173675582087276,-0.22606590780563107,-0.2425769775577875","rgba(158, 49, 108, 0.7)"
Cube,"0.4124398599507437,0.5081271305115185,0.9030801774193713,-0.9480820382773605,-0.7001123365077447,-0.6037556417170046,-0.7413135295778412,0.7787158219743666","-0.05240116924613636,0.04847032372789939,-0.5582081322325524,-0.8019815762510084,1.131704159090967,-0.8032718190088657,-0.5060097968309899,-0.4459740428812966","-0.5421050724911916,0.6914659157654355,-0.7544315085083082,-0.07527453388531857,-0.21790798198209982,-0.46540693306616476,0.23721240129710086,1.279628678684297","rgba(175, 223, 151, 0.7)"
Sphere,"1.2582200422034062,0.39334922696928665,0.9059038426854717,0.5420779222642675,-0.27961817900053765,0.004641459669448178,1.3343480801821586,0.839816389688808","0.9963912857689543,1.7359846166748136,-0.7691363096607662,-0.17511283684193635,0.9235136503149635,1.732749393581372,1.7472900805612799,-0.9427709628425348","0.5363425130594814,0.9296677283393446,1.6816481539950088,0.07166398470707058,1.8503301949427367,-0.6156125617060924,0.3693680223467424,-0.7242626581850232","rgba(250, 226, 97, 0.7)"
Cube,"-0.4687572341617625,1.377203137131266,-0.05214418737086113,1.1122690737559116,0.3989482067421113,0.9299753766679872,-0.5088156298484353,-0.666568343316305","0.7387653149322937,1.9001688032026811,-0.6260589576879256,1.0714100887745204,1.256759153142017,-0.46476784458185716,1.7423607710299174,1.1048610496308378","1.756901311646879,-0.6532215503103475,-0.21556827809923795,0.6241276445775601,0.17846791470169343,1.097766832300283,0.607793451353714,1.070627141426813","rgba(189, 172, 44, 0.7)"
Cone,"-0.8738314641588769,0.3675409498026647,1.8088203544602064,0.6853094191726092,-0.6514056138317136,0.28354408926164565,-0.06357528123080569,0.46633821796579467","0.5900808125233752,-0.8906105735317829,-0.2020444527625086,1.964928299976489,1.4090226761327815,1.9057961289101293,1.528857493364045,-0.521845805249982","-0.6784655165579366,-0.21893468898328394,-0.03782086386610617,1.7054542101056942,-0.8433587805293832,-0.2946154130478058,-0.36859840164366,0.9566736783448975","rgba(41, 91, 161, 0.7)"
Sphere,"1.463154598592212,1.6049114133825881,1.9585596095569322,-0.5215319296069418,-0.6242015522008896,1.1883061396148236,1.490400441695951,1.0848284795926877","-0.03162569917105429,1.2884859429370015,0.517285769725875,-0.0353341941060803,0.5854579111240419,0.9502697591857201,1.0708919414227784,1.4115123680693724","-0.44012880166510593,-0.22623504151264484,0.46007981023626354,0.42911747311239434,-0.22606044068059805,1.9589394073423376,1.7606963623268235,1.9503903275063283","rgba(56, 64, 236, 0.7)"
Cone,"0.015147117238531127,-0.38919901753159103,1.1643216996490118,0.22190988326272154,-0.8131073836026482,0.20742634150247086,0.5811785112911498,-0.04760008030039464","-0.24164226763805352,-0.08828792835141475,0.8442720576713496,0.2764413099646865,0.21070050738190038,0.39546516307118296,1.5825292783499432,0.6275193883459083","0.6099818003504811,-0.4019424686747265,0.7937140996933052,1.687783919045473,-0.01003213103656786,-0.02694712953485101,0.3725876274723956,0.7062889183691912","rgba(1, 99, 187, 0.7)"
Cube,"1.9279849002351397,1.8681232539188617,-0.7275015305602782,-0.7792970581752955,0.5888198480775886,0.56705068048655,-0.811210552144892,0.5675090152878741","0.49883362452875435,-0.3121982299372571,0.5866928195828356,1.0564531114716935,-0.847413885239977,0.16660556342016442,-0.6007521870125647,-0.6929076528707836","1.9433714557514783,-0.6430054440564607,-0.01322109944331995,-0.5573756310371075,-0.2330115977668924,-0.10432260181865471,1.1411182197737206,-0.8462899476102437","rgba(145, 94, 211, 0.7)"
Sphere,"-0.6728445029062136,1.2934241447295616,0.6210389348545231,-0.36225533119358255,1.5775484443555388,0.9249826930546687,1.865399629944029,-0.38859302425619213","-0.29627233499111516,-0.37493641681979495,0.6995940649798822,-0.498321150612155,0.6913728563146475,0.1378830780048914,1.1213610773676876,1.2935180369681927","-0.368393595019033,-0.6275306524845287,-0.17330849854462815,1.664459610177941,1.8797600339273886,1.9538556966145477,-0.5508014957342307,0.885584433612697","rgba(132, 179, 207, 0.7)"
Sphere,"0.08010506869702305,-0.8773194152559661,-0.2545509977832259,1.057649866665002,1.7899743465650757,1.9899187218624257,-0.5087395076296599,0.7710357640148469","1.9685293940336162,-0.8745214273195991,0.5854845519542,0.45749983917498316,1.7119762300419836,0.805997777263538,1.4448598268943513,0.38331147203245686","0.796219341321589,-0.40949707646965894,0.18924955225674744,-0.3755219983504614,1.3544961523342995,1.7089428505258186,0.5877004094107023,1.604502617041852","rgba(29, 53, 111, 0.7)"
Cone,"1.8504734733434307,1.4502873434759316,0.8179345527081927,0.9477406470936103,1.773524988102388,-0.8625558976409021,1.1723123075633195,0.07927160693096713","1.1713805156600454,-0.05915362837580418,-0.9916259808576595,-0.8662163608330254,0.8032544240552764,-0.7477894343504782,0.19450829300213401,-0.14214444117381186","1.945378319669289,0.9348353427492466,0.9061083558692773,1.2008713333580112,-0.5831320304196242,-0.10225615384980435,1.14561694293974,0.5743194433292094","rgba(157, 254, 0, 0.7)"
Car,"0.8341959261771326,0.3463071923294665,0.6111229738033277,0.947650765864321,-0.7351456785795137,0.011304772244288053,0.3454766455250131,1.5463193416730925","0.6003912536353129,1.1226622692860988,1.6918224966599338,0.8742346467405993,-0.7217565268742208,0.38480531050126676,0.5336982139247568,-0.4922227997545793","0.37551308311226883,-0.08598263359304492,1.8460570399072127,-0.14588935212926002,1.826236574194013,0.3970164787771977,-0.37504494158711166,-0.8745468041698996","rgba(176, 225, 243, 0.7)"
Bicycle,"0.3443905099729738,-0.3652572697189085,1.5602423186231533,-0.5801039851185361,0.045969005545182684,1.4377830096710609,1.931887236704652,-0.8020539850189833","1.382342585299578,1.42668875087851,1.2935559915066466,0.42877177502399144,1.6870340647941817,0.016611546199556848,1.1326948156016519,-0.6583153419934693","0.4661296914819262,-0.035850138965206946,1.0648415889858005,1.7588085811956997,-0.3830340498462139,-0.34279450803331535,1.2202324457288718,1.615412079807816","rgba(154, 195, 183, 0.7)"
Car,"1.9752589991783926,0.8930961138583844,0.8652779343077768,-0.29431523307304175,1.0107796267042994,-0.163338538865191,0.9691447417010244,1.464576373283018","1.3153931997866581,-0.630015111711897,0.183497617864113,0.8737479644923667,1.8124417094905771,-0.5479353016306139,-0.10270416261545356,1.3735550869598945","-0.5201074297746504,0.09671763019126467,0.9567642274250292,-0.06132625294895955,1.525924880046599,1.7314139484750184,1.6442523321414777,-0.4001983368532658","rgba(85, 202, 20, 0.7)"
Cone,"0.06430333148194123,0.698634231279581,0.20782320373960128,1.369842171859215,-0.9016669508207549,-0.7089653674516979,0.5998452512190591,0.6466310139423226","0.5652169519399559,-0.1726339933615958,-0.0584096233244531,1.5205759996964012,0.37779564399392496,1.7798418807998164,0.20762058296579244,-0.7003309915764485","-0.19189498888191692,1.755168868862552,0.468222230412183,1.7940274139089594,0.7452805791163157,-0.09673719605973619,0.40602427872447233,1.9116670915882312","rgba(46, 48, 10, 0.7)"
Sphere,"-0.15880526779652038,0.6475336645860108,1.1321561016229245,-0.22544439860653798,-0.16372326446613106,0.9390134831842256,0.621030720246091,1.5646408660060578","0.09715152479444633,0.8761227127302957,1.878580638124594,0.9586565376480427,0.5713079262523753,0.8810849056512908,0.2433199234367267,1.8198035231615153","1.6752088051957892,0.812497322382975,0.6030995143012854,1.6352487976291634,0.7906629794809619,-0.44433645549449907,0.8629837173986856,1.2129614748369288","rgba(37, 205, 122, 0.7)"
Car,"1.5068422854250403,-0.4270682890629832,0.2006814962063741,-0.09390371990225743,-0.1254046884836334,1.8121149690592047,-0.35347261022752585,0.7019610983496054","0.13685197651818903,1.3130178265374814,-0.28830959641187526,-0.7374026775526699,0.2606338435835225,1.369528755220304,1.0675781141909537,1.2311416296007858","1.3610758618866816,1.1239126886907105,1.6783709814317942,0.9186792318031411,0.5086986433717775,0.4969737256968745,1.7119531656000748,-0.6872742532670282","rgba(59, 197, 75, 0.7)"
Cone,"0.33996516909952645,-0.3641538621341406,0.14692969248826415,1.9230435594510276,0.6772603779531503,1.3031098369324896,1.547974008912643,0.6862844842428228","1.9178657803354469,0.08246600924409986,-0.34981093839903254,-0.0079557570778368,-0.14425956470291268,1.0136324942428363,-0.4816855360985369,0.23113698630385837","-0.9627578593549166,-0.9563715431142883,1.0129049400417123,1.10183057355027,0.6219244188684938,0.6603610019635555,1.669887950390943,1.9486050689617707","rgba(2, 166, 215, 0.7)"
Car,"0.5400671601339138,0.1517139577687434,-0.10094610847078156,0.20089032992322275,-0.6923226263688331,1.9543304994152555,1.556410315515548,0.22861867194399688","0.29469329699957214,1.9372729824781816,-0.13026634865944275,0.48609908050433126,0.4945626042735771,0.8102032713052725,1.749664644687372,0.4176236008152838","-0.9538339457324794,0.6317347405465883,0.8096433416033375,1.9627476843641984,-0.12334468197966753,-0.403178572482608,-0.4556488393625312,-0.28125562821573935","rgba(69, 120, 42, 0.7)"
Bicycle,"0.46748707814044654,0.7357430033855266,1.4420596705036308,0.8232864519184484,-0.007772964656145409,0.547212808233946,1.7143634955133993,-0.27994463041302897","-0.482436704117959,0.6270546168932745,1.6262313999865325,1.1001838641928652,1.8095269631687296,0.16833038394000788,1.6731433308413095,1.6027202743475994","-0.794049580459473,-0.2285376348302739,-0.4546841726573583,-0.1646226119042441,1.3005339736709134,-0.053957489242066115,1.247948945604037,-0.8728175934771601","rgba(58, 54, 189, 0.7)"
Cone,"1.2095190149652617,1.8653143784985673,0.6351004389549162,0.6326756007338026,-0.7050340447616154,1.0920472130919032,0.43181976458434956,1.402160872752654","0.4302756627261419,0.48073785251721235,-0.06641569917098844,0.5597200061476986,1.735533700308733,-0.9572411446618796,-0.5652258321348931,1.6012150680804016","-0.43480441711268925,-0.7372794869418442,1.8928853464299342,1.4015849939728073,0.48001123796226874,-0.9356555937129283,0.3639148701820005,-0.9856983496750532","rgba(201, 14, 80, 0.7)"
Cube,"0.7302552961766957,0.02773714699595775,-0.9588842134889685,-0.5303444363743642,1.9742593265491895,1.895940041501043,0.8647211923543199,1.4730781112692668","0.1220515910743698,-0.7897756341830181,-0.10123971631067197,0.45209639078829245,0.07443580334109146,0.2132215406308955,-0.5189317237590794,-0.11184908570578855","1.960845949361718,1.540636217991548,-0.751309227443181,0.5538615613369147,-0.4217958471476584,1.5032290925242853,0.7710924027280726,1.1054766547781774","rgba(148, 201, 54, 0.7)"
Bicycle,"0.252852428394575,1.71349287967025,1.9493481178204486,-0.8163878969256858,1.8874179076634077,1.0828164047013331,1.1824593208417142,0.08730896541149269","-0.2866461370796617,-0.8672790154868228,-0.563113125604621,0.7447530103542492,-0.6009938202826405,0.8257189620244387,-0.6516803451563028,0.02476083525259698","0.33209972654113074,-0.27815182362550483,1.7478919137820412,1.8461728644769453,0.29138019990429265,0.5469759455726195,-0.494065667615611,0.5545074656653766","rgba(166, 163, 225, 0.7)"
Sphere,"0.5859624843797795,-0.05678290778975148,1.1163096178213414,0.6729205289721727,-0.6467964974942255,1.9084273437864874,-0.6345909540581227,-0.25295191251392424","1.9871166570922245,1.855256441161795,0.49794743387844154,-0.4183264671778335,1.0601464380907863,-0.33863512653504757,1.4924890867936078,-0.7294753664920061","0.5207600845289884,-0.7312038192294257,-0.061174475633434144,-0.04296722259898478,0.614909555305506,-0.07278579373288652,1.3591073359078725,0.4037642020993042","rgba(244, 23, 156, 0.7)"
Car,"1.5444416494396291,0.6122380437746124,0.27836724830778836,0.9969844838819952,0.4018845409479477,-0.615279512478172,1.896655209146854,0.029466976158111446","-0.3650800010578876,1.1660077780922897,-0.7756959950337204,-0.9817099914664602,1.098346851028495,0.7761739256408511,0.7816173738244192,0.9273353181049457","1.2120031473442934,1.8417155712031326,0.7031113626314229,-0.2022119020283598,1.606231324303634,-0.16431521170188124,1.6456225545365069,0.4833221978634046","rgba(242, 49, 77, 0.7)"
Cube,"1.5163386339633353,0.5804334317136219,0.9062981406176098,1.7971515095581316,0.679795030105842,1.9405720572754515,0.4615425519693179,1.3257296958068343","1.8298463006802765,-0.7619956312375205,0.24716429023156028,0.7105029228007269,-0.867637225567183,0.19972112727273528,-0.8673469822604567,0.8391248244681955","-0.5099209749820413,0.9903399247766718,-0.4620626280065594,-0.6055098932598019,0.4889499667253445,0.8433151387499334,0.46880037804116115,-0.39018795416682595","rgba(89, 9, 131, 0.7)"
Sphere,"-0.6098556321667736,0.0288460466032463,0.5138251209465423,1.6504752504751399,1.6013013979754134,-0.14561334519166425,1.852602342894245,0.6254170492110882","1.9689063216783032,0.9569505589053211,0.653904028404066,1.7229766062003598,-0.9680389658461696,1.8823140264353224,0.5662846316260985,1.3608783235217419","0.23368690181820195,0.5990804513382477,0.6361843863101133,-0.2762434257507075,1.514242719278951,-0.24068870700241962,1.1875077328631378,-0.20891799822075396","rgba(204, 31, 89, 0.7)"
Sphere,"1.3307609733050714,1.4920594434090009,0.1925732245220706,0.9313774802689512,0.046255602858429556,1.251144839669852,0.5353269717120828,1.1982004963367192","1.7464142804702183,0.9221587911094384,1.6553328505588256,-0.20887573824179706,-0.5773055565374461,0.15010450924414753,0.6559760378919548,-0.26131160702757084","1.0276446386853046,1.8457075248096628,-0.5584354655435146,-0.01583520820804518,0.7348442707395249,-0.5679379416274148,-0.2642626811608725,-0.3959963820856508","rgba(158, 101, 92, 0.7)"
Bicycle,"1.6812849906817533,1.2108513838647146,-0.24485305983366068,0.613149382744308,-0.18370469817336998,0.7455091950259178,1.7378272360485192,1.9660298408209025","0.17148641282413157,1.367538643874596,0.008840612742617271,-0.68297044412191,1.2406418657390361,0.41376225223384067,1.327917493286522,-0.5901045273408647","-0.5755693721480245,0.41044833909434963,0.24487659946149187,0.8203296520470493,-0.4560906338214695,1.6517727014091257,-0.2695625094742037,-0.9002962674175149","rgba(72, 178, 194, 0.7)"
Cone,"1.5433967397217687,-0.8099395327179715,-0.5826463806995873,1.0012553715619728,1.7945980214494033,-0.05511410159722541,0.3912788971573309,-0.3701344587591695","1.8998586014130998,1.2070430120837696,0.2244861433260288,0.2559870873376311,1.0081419522569135,1.943939163785819,-0.8931886657675575,1.810629464603207","1.1266587247342068,1.2532676571862833,-0.40754650918787794,-0.1458305076947749,0.7157416305999775,0.34355950656481427,0.8250007079911112,1.4138749550295193","rgba(176, 56, 245, 0.7)"
Car,"1.767247586517854,1.5870033712268157,1.9067461889700117,1.04037585918394,-0.06583291728160712,1.5144248930859172,0.8592798808908495,1.1235572622865386","-0.6640364126474829,1.661469632236019,0.3324050878908591,1.8237316218772364,0.8322115608030829,-0.5003368950897238,1.247492946343986,-0.981608102028308","0.8553952637915772,1.9690774127561892,-0.8097228955625265,1.0491005395117146,0.8501440407993475,1.935922387324935,1.066617552438848,-0.4697600042124056","rgba(214, 81, 207, 0.7)"
Sphere,"-0.9375048761945344,-0.7176694627439703,-0.8434716304526433,0.12473787489514798,-0.7065187869780493,0.6757674124539697,0.5115708307300773,1.0859492949513339","1.198610580686032,0.5216396849451179,1.6154214509600155,1.6873960861557626,-0.47415485007555747,0.5221220054483864,-0.9906439026302553,0.260161187556057","1.7829161174647838,1.9872518563125467,1.9654893087999268,0.9328875161730887,0.6898410768619794,-0.03463858426498878,-0.376457926982697,-0.7147938586800016","rgba(128, 35, 111, 0.7)"
Cube,"1.8575425416507825,0.5391232102398258,1.9130087744442497,1.0264724627132096,-0.7734348764490511,0.1581548514670481,1.1650611763957563,0.3419558404547576","1.5098013741555931,-0.12319450643558594,0.49808632011615184,0.133349473487117,-0.5692188542089676,1.4459636372886688,1.1194635928298315,-0.3401439454195727","-0.14811103275137572,1.9108796793295952,-0.20644219789772356,0.46206041330433445,1.7499690478197891,-0.21139208445211277,-0.42950720116158125,0.6388495379499686","rgba(207, 105, 125, 0.7)"
Sphere,"1.1692122579371098,0.06177117931770537,-0.02711180968190363,0.1543665098709881,1.1476965306799412,-0.7202788224275005,1.8475236790924296,0.9179126915639837","-0.9000494934060236,1.0166820470285272,1.9741907151695468,1.5383114859004312,-0.45730590509617985,-0.16510053348034393,1.5636882456627617,1.7893336054740634","-0.7496251986944673,0.4696471402830511,0.7093563162652372,0.4090492309925482,0.14261677300830478,1.2511087426520477,0.7408203721307325,0.810625676137865","rgba(238, 119, 241, 0.7)"
Bicycle,"0.2819876674744406,1.4834691340001789,0.20244910827838924,1.2573203916200981,0.7742480521645039,0.42008174652113306,0.37146465565087805,0.6413796525096633","1.73619297091739,1.635036191171721,1.1207263073241989,0.14914292307701604,1.1187272262697197,-0.40072417564505924,1.3662683894299352,1.4704394455825929","-0.33552086628144695,1.9527251541932147,0.8566211714041418,0.4800909855813198,1.541179006830843,0.29934111688852005,1.1981644559075737,-0.05895667685050854","rgba(74, 216, 110, 0.7)"
Sphere,"0.8522479597986492,-0.6292507545366447,1.8488932787072856,1.8053875988154302,0.03700167066356452,-0.9512226455304312,0.13738217592756152,-0.7179557117703764","0.8969267868323338,1.3425207805580932,1.0730834851035187,1.7391727853274834,-0.31034514780256384,1.614509646855172,1.1085056150691046,1.7471701691781716","-0.5027734822930612,-0.38945351059187616,1.7433758928816543,0.6451125725418616,-0.07657341368336523,-0.37553919079886566,1.6862097474966595,1.6666456453688792","rgba(216, 252, 228, 0.7)"
Sphere,"-0.42247067874166,1.2189769695921906,-0.6033642626155926,0.9259193393451346,0.49542753524950855,-0.37284091340475023,0.02765547034599325,0.6230468600016754","-0.24697173578432108,1.7093010578622483,-0.5920010725570442,1.8422419633269622,-0.6244875265554931,-0.18227306491683892,1.0501822946533887,1.895894921969055","1.2934247622099218,-0.11579682894435073,0.8527951260088005,-0.9531889056045388,1.6996433506512636,0.8422716523238107,-0.011718512157529504,1.9976051483262514","rgba(44, 172, 49, 0.7)"
Car,"-0.042013607135328424,-0.4279812355381427,0.08841126396865473,1.384661709378745,-0.553352592306557,0.729084539818504,0.733861766954454,0.23608621539535024","0.990377652204202,0.07287464168365387,0.713802765005096,0.4771201138824668,0.9999738428062916,-0.972504697037441,-0.25340052902735055,-0.6137490072886288","0.664485761402696,1.4863847238213506,0.2448563116837592,1.674529894023646,0.6150530677623831,0.39693744718465007,-0.3637909311957639,-0.930709935336317","rgba(252, 164, 30, 0.7)"
Cone,"1.5677143946248857,-0.41041171222655126,0.7881401048086509,-0.892644968428565,-0.9648342931000679,0.30635317354766833,-0.7335270641147686,-0.8245155190245131","1.5063219495907387,1.1839256075315343,0.6879170980097689,1.9428724870042817,0.4846421259760607,-0.00031444250426837517,0.048624596212493376,1.8815320655198944","0.5455882764631543,0.5412722939619277,-0.39449615619714307,1.007419842799635,0.25869840835112323,1.1921367484621626,1.4994831227946928,1.0735168785959321","rgba(234, 236, 181, 0.7)"
Cube,"0.2619357675896059,0.8132958774671488,1.5447683275744448,-0.8030583367612114,1.2313645372158502,0.7082697939710894,-0.34641213417336514,0.06331404726048673","-0.5866582351059607,0.8457853532004713,1.130577961772918,-0.6552892768500617,-0.7027781166013256,0.4715244589803129,1.1271626678325974,-0.9068789855934963","0.1994318105513173,1.4328910874990979,-0.10193305673789832,-0.06316143120282691,-0.16724154682064896,0.7554082183280826,1.3133951134557709,1.65616172530469","rgba(196, 41, 70, 0.7)"
Bicycle,"1.401755632045564,0.6260120254142552,1.7208508991673224,0.5840305486623425,-0.9123335398507207,1.4283539427702494,-0.3745990542779576,0.26469418718137483","1.7202090102302274,-0.4517350393627564,1.2674823925491023,0.6124019979382287,0.21337232676593332,-0.4271082016625952,1.0377793836977403,0.8555108659557014","-0.22712987568639564,1.5225847775332193,1.9670393645180204,0.9894074786351266,0.5443635316904549,0.8583650653795565,0.9350852476446168,0.5598251175288893","rgba(49, 69, 16, 0.7)"
Sphere,"1.757513763767443,0.22537356227510097,1.044317737270542,0.7620535590267643,0.1900289476396666,0.2615850323271225,-0.8589514857640757,-0.17543942826704717","-0.9397942440507967,1.079583687065691,0.9756689333801556,-0.8728207077912807,0.2697932046470948,1.895938483113301,0.6154745606238787,1.9502663503407547","-0.7925727579860042,-0.3591225765591012,1.5358987693015411,-0.06054166524709037,1.9991641982520165,-0.8729972648722827,-0.7776035006841927,0.9473046575456299","rgba(222, 197, 36, 0.7)"
Bicycle,"1.0713540993699677,0.7213612474293649,-0.6029940260057898,0.6484885188584848,0.5440985612551308,-0.036011799223422236,-0.7239436915785772,-0.2928887828087814","0.8840574681619775,0.4437440593348585,1.5975206486024645,1.9220991294896423,1.3708252500007814,-0.3005989146551268,0.7875687159997553,-0.8010672815772129","1.0537617760040354,-0.5992077204822067,1.6283957075031394,1.587250807480693,0.3923218022076018,-0.1539789716225609,-0.06300439503786226,1.5470088350631754","rgba(232, 73, 85, 0.7)"
Sphere,"0.522073855748302,0.2279220002852822,1.457102112274728,0.11234374337222297,-0.47426148068146445,-0.025852951076700714,0.961165233079714,-0.15756621002488058","0.5178052759410274,1.4072847795799275,0.10641622683169105,0.8285797097384919,1.3439354311278033,1.0349250043243252,1.6478127944888534,0.9714467905197033","1.8943012104750574,-0.5989482910400237,-0.33985083470114863,-0.7400315691173636,0.10931879955513679,1.407764034913591,1.5728640751810392,0.4453043480125607","rgba(211, 6, 16, 0.7)"
Sphere,"0.22959536260610802,1.790018796005481,-0.9736847489853524,1.3420598524639518,1.1885125348591807,1.029992349631835,1.8274088699075062,0.8093925126623072","-0.9110563809672341,0.11614342818720758,1.3248446749406888,-0.003091877424936329,0.35409532822248746,-0.4763304455325291,1.8870086490379618,1.1949096308264426","1.638459216297253,-0.3870766643163608,0.5536474352145238,0.7316871090853185,-0.4642171093868853,-0.7491776538949999,1.9634143006028473,1.2498221410121095","rgba(53, 97, 252, 0.7)"
Bicycle,"0.7897228376123455,-0.023122980904480728,1.048277981407049,1.5291640454106399,0.5584201905202639,-0.33943085505793547,1.2276690377353905,1.7590461379502185","0.8175339295576445,0.3832472282717716,1.365169159187642,1.2358235762811365,0.4487000347224055,1.9356206722980027,-0.784099088915388,1.1065919355997842","1.392916489673477,0.7324507998155418,0.4321087049297825,1.2877190753811343,1.288381256956578,1.4155477795138154,0.5104067391196967,-0.36975514560335754","rgba(124, 231, 160, 0.7)"
Bicycle,"1.462738057984013,0.5374565681840782,-0.5585556496640123,0.8833476724503102,-0.3932302838230305,0.68953102935208,0.6793416645796979,-0.01252159882592796","-0.2705145064585601,0.2966959375557148,1.5631229454136326,0.2550221010397755,-0.9659877223641667,1.6860987846147832,-0.433222850487048,1.4901314553013867","0.6874378073622665,0.3912681706780632,0.6423029318290472,0.7201028205685771,1.5215267219070188,-0.41040941950764487,-0.2998099826551194,1.4797359301934057","rgba(66, 178, 202, 0.7)"
Cone,"-0.9683376640860815,1.4350641320565147,0.35324157069564666,-0.07466941557846529,0.3493660578240121,1.13290336205083,-0.6136855197820819,0.9133041964695146","1.2433272046893111,1.1651589477407938,-0.5714391578631293,0.13759396066735263,-0.8860779014474663,-0.40050768566983797,-0.37081594380068905,-0.5402045799051441","-0.7435545528450889,0.015809660703957507,1.7088501241348522,0.08908081706327953,-0.7174585446849081,1.1455035551750967,-0.9586486006097735,-0.13205543272144005","rgba(240, 209, 42, 0.7)"
Cube,"1.478902096539756,-0.7319477688697174,-0.1222433175619475,1.878419798104194,1.7442383382090845,0.24181746510520385,-0.0028368515114769455,0.3061844930368185","1.9217913920648018,0.605110007289785,-0.4978251809485017,-0.7579454070278684,1.3633564398545608,0.9300459952510138,-0.20178841214555998,-0.7270025478757831","0.6293995868645568,1.8051621240172078,-0.08279076652658224,-0.3412978147807034,1.67218397132407,-0.33016162904149193,1.708679169613308,1.6086035775286858","rgba(201, 104, 40, 0.7)"
Sphere,"0.7439246300489746,-0.23712360876354055,1.0295527298246938,1.4476011673971763,0.563877990934748,1.097631122561066,0.261034422014109,0.89021861078421","0.7608089043425132,0.14572201249618355,0.7425701605564914,1.1647879446788427,-0.3183944069611164,-0.2238550509317827,1.0841916665496312,-0.34214669687852783","0.8167703219181539,1.8212269065665696,-0.41240662512047266,0.5581537826981084,0.8483029093299372,0.09525958578598259,1.4125026181855107,1.9562142443478026","rgba(253, 171, 128, 0.7)"
Car,"-0.2674069036039649,-0.20632348507965415,-0.5937055780097112,0.8169737014071856,-0.2911516078425699,-0.5245575593305669,-0.8540633153740798,-0.18810239708999066","0.7537002152040255,-0.5265152352329974,0.4858037079659816,-0.7665198505860493,-0.13610264690524254,-0.4584357398677523,-0.0039463408545454826,0.6937950417862317","1.0445275800387006,0.7711597005396027,-0.1365846815183387,0.4712174963856808,1.03747467963546,-0.48830976917562685,-0.05812878343861139,-0.046937779931696455","rgba(254, 121, 177, 0.7)"
Bicycle,"0.20207726071307808,-0.23880259349705535,1.3428550940221964,-0.033573230069342985,1.1883185457716166,1.0624635605522363,-0.4973315603957116,1.6565285884467573","0.8969117603524639,-0.1404234217455318,1.2190432625182535,0.71712307262802,1.2470679203161654,0.8350159555754033,1.3249728702961372,0.700919741474241","0.7993238525710187,-0.9590414508919967,1.9767402044754223,1.9581304422827217,0.7217265509975348,0.3434982186354909,1.5173562889196446,-0.04705003830673882","rgba(7, 207, 238, 0.7)"
Cube,"-0.38458192041207606,-0.22046867569465733,0.34396949179431746,-0.5784016030651101,1.0957144941148007,-0.6704470068057818,0.7975939638762857,0.8055735018601169","0.915775603857869,-0.07687132109908335,-0.7911926410761774,0.9686279361451811,0.22456378305521074,-0.041128723930667355,-0.8106772006177714,0.15937651439279277","-0.21574239048299526,-0.3244156733886737,0.09406357190572234,1.8635431833550649,-0.44381957092010216,-0.7959024733384109,1.8421648943592381,0.7599107355205397","rgba(57, 9, 2, 0.7)"
